3627 Felicia :  rat .. lol
7919 Denny :  the permission and ownership stays the same
7954 Denny :  throughout
7972 Latricia :  is there a way to tail -f a file and have that output piped to sed to have certain lines colorized?
8001 Malcolm :  Rachel / Jesse: should i put the "set daemon" option in /etc/fetchmailrc ? I'm guessing not
8011 Val *  entered the room.
8020 Shenna :  even dmesg says "hda:...."
8025 Shenna :  why is it so?
8029 Elma :  bye folks
8029 Elma :  Shenna: heu... not a damn clue, sorry... but why are using a 2.4 kernel?
8034 Elma *  left the room.
8055 Denny :  Shenna, what are you trying to do?
8060 Shenna :  i am trying toswitch over ti 2.6
8063 Melda :  Elma: maybe because 2.6 still is getting root exploits as development goes on whereas 2.4 hasn't had any in a long time?
8075 Tammi :  hi, i am trying to dump a file system to a dat SCSI tapedrive. if i dump /var partition the speed is 1555KB/S, but if i dump the /home partition i barley get half that speed. Why would this be?
8082 Denny :  Melda, if you stick with around 2.6.12 its all cool
8082 Shenna :  but 2.6 gives errors on my laptop
8091 Sierra *  entered the room.
8100 Ahmad *  entered the room.
8102 Denny :  Shenna, what errors?
8116 Vashti *  entered the room.
8119 Shenna :  something like : kernel panic .. specify correct root=...
8122 Lizeth :  lol
8124 Shenna :  i am using lilo
8127 Shenna :  slackware
8142 Shenna :  on my pc it works fine
8144 Denny :  Shenna, right go to lilo and change root to sd whatever
8153 Shenna :  i tried that
8154 Denny :  while you are running
8156 Denny :  and?
8157 Shenna :  didn't work
8167 Denny :  same error?
8169 Chau *  entered the room.
8170 Shenna :  yes
8187 Denny :  waah...
8192 Shenna :  hey, how do i check if my drive is really sata?
8202 Denny :  open up your box?
8202 Shenna :  i am in windows right now
8206 Denny :  oh
8211 Lizeth :  does it have ide or sata cables
8216 Shenna :  linux not booting
8224 Denny :  open up your box dude
8224 Shenna :  it is a laptop
8227 Denny :  oh
8228 Shenna :  can't check
8231 Shenna :  just got it
8234 Denny :  Shenna, download a live cd
8247 Lang :  hm
8248 Denny :  not ubunut though
8251 Lang :  linux is cool
8257 Lang :  openmosix seems dope
8260 Denny :  Shenna, use knoppix
8265 Shenna :  i tried dmesg from slacware
8273 Shenna :  it says :  hda....
8276 Shenna :  etc
8277 Denny :  right
8285 Denny :  2.4 you are not going to get it right
8286 Evon *  left the room (quit: "Ex-Chat").
8291 Shenna :  k
8302 Melda :  Shenna: check the dev entries?  + some things change it... my laptop is definitely hda, my openbsd and 9/10 distributions recognize it that way - but for some reason my slackware sees it as being sda... just weird stuffs
8303 Lizeth :  2.4 limited sata support?
8304 Aldo *  entered the room.
8324 Melda :  Shenna: laptops are sort of odd in that way of sata/scsi/etc
8325 Shenna :  hey, any way to check it in windows
8335 Lizeth :  #windows
8339 Shenna :  Melda: : hmm..
8343 Celestina *  vommits at the code quality he is currently witnessing
8362 Jacques *  left the room (quit: "Ex-Chat").
8363 Santo :  Rasterizing........... @ 600 DPI ^_^
8366 Shenna :  Lizeth: what is that?
8384 Shantay *  left the room.
8385 Melda :  Shenna: Administrative Tools -> Computer Management -> Device Manager -> Disk Drives right-click/properties/details
8390 Santo :  due the fiiirst thing i do once i get my website up
8392 Santo :  SHOWERR
8393 Santo :  ^_^
8410 Denny :  gaah
8418 Fernando *  left the room (quit: Read error: 104 (Connection reset by peer)).
8424 Lizeth :  i have forgotten how to use windows
8424 Melda :  Shenna: what precisely are you trying to do though that it's having trouble finding out if its sda v hda?
8433 Fernando *  entered the room.
8434 Melda :  Lizeth: isn't it such a pleasure?
8443 Violeta *  entered the room.
8447 Fernando *  left the room (quit: Read error: 104 (Connection reset by peer)).
8449 Shenna :  Melda: wait for a sec
8457 Fernando *  entered the room.
8463 Lizeth :  i guess except when people ask windows question
8464 Melda :  wait for wha?
8489 Margene :  still a pleasure to me, to hell with dumb questions ;)
8500 Lizeth :  i have no idea why hes tarding around with 2.4
8502 Sammie *  entered the room.
8513 Margene :  because it has no root exploits!
8523 Sammie *  left the room.
8524 Margene :  2.6 is just waiting to get exploited!
8526 Tonja *  left the room (quit: Remote closed the connection).
8526 Jeanice :  he's on slackware, which i think is still on 2.4
8534 Lizeth :  so hes setting up a large scale secure network?
8559 Fernando *  left the room (quit: Read error: 104 (Connection reset by peer)).
8562 Lizeth :  slack uses 2.4??
8568 Shenna :  yes
8568 Amber *  entered the room.
8571 Margene :  slack is crazy
8577 Fernando *  entered the room.
8579 Lizeth :  glad i never messed with it
8585 Fernando *  left the room (quit: Read error: 104 (Connection reset by peer)).
8596 Shenna :  hey it is a hitachi hts541612j9sa00
8601 Fernando *  entered the room.
8607 Lizeth :  puppy debian ubuntu and elive is what i boot
8641 Fernando *  left the room (quit: Read error: 104 (Connection reset by peer)).
8649 Fernando *  entered the room.
8668 Star *  left the room (quit: Connection timed out).
8680 Fernando *  left the room (quit: Read error: 104 (Connection reset by peer)).
8688 Jeanice :  just debian, here. i have about 130 gb of distro-less space but my connection is too slow to be downloading others
8695 Melda :  slackware has 2.6 available, just not default
8696 Fernando *  entered the room.
8701 Marion *  entered the room.
8711 Marion :  What's the best way to create a Kiosk term using Linux?
8712 Shenna :  the internet says it is sata
8719 Winter *  left the room (quit: Connection timed out).
8745 Pauline *  left the room (quit: ).
8791 Tilda *  left the room (quit: "Leaving").
8819 Shenna :  i have a acer aspire 5583
8822 Art *  entered the room.
8863 Rivka *  pounces around
8865 Jeanna *  entered the room.
8866 Velma *  entered the room.
8876 Velma :  anyone here uses LilyPond?
8878 Brandie *  left the room (quit: "Bin weg").
8879 Melda :  any newer aspire is definitely sata
8884 Ashlee *  dissected a few recently
8889 Jordon *  entered the room.
8902 Fernando *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
8913 Fernando *  entered the room.
8917 Jordon :  whats the command to apply a patch? patch -p0 -0 filename ?
8929 Shenna :  http://www.hitachigst.com/portal/site/en/menuitem.dac393208bfae6f199558fe7eac4f0a0/
8940 Shenna :  check this
8950 Shenna :  these are the specs
8967 Margene :  I question that site!
8976 Shenna :  why?
8983 Shenna :  it is the hitachi site
8994 Darline *  left the room (quit: "Leaving").
8998 Fernando *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
9009 Fernando *  entered the room.
9026 Chanel *  left the room.
9033 Gale :  <Lizeth> i have forgotten how to use windows <-- life is good
9053 Jesusita *  left the room (quit: "leaving").
9065 Violeta *  left the room (quit: ).
9071 Jesusita *  entered the room.
9076 Shenna :  hey, i will be compiling the kernel today, so any suggestions so that it will work
9088 Gale :  also, like they say -- time heals all wounds
9092 Margene :  yes, do it right
9093 Shenna :  i have 2.6.21 to compie
9105 Shenna :  *compile
9110 Fernando *  left the room (quit: Connection reset by Brandie).
9115 Shenna :  http://research.indocisc.com/~andika/acer/acer-aspire-5580.html
9129 Fernando *  entered the room.
9138 Shenna :  i searched this thorough linux-laptop
9150 Arlie :  gah !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
9154 Maegan *  entered the room.
9186 Shenna :  Arlie: what happened?
9186 Fernando *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
9194 Sierra *  left the room (quit: Remote closed the connection).
9200 Jetta :  I would like to make linux bootable on my intel mac mini.  Can anyone help me out with some info on getting around all the EFI nonsense?
9201 Fernando *  entered the room.
9214 Gale :  Shenna: yeah, I would go with 2.6.21 unless your distro is good about backporting security
9215 Arlie :  Shenna, another jerk wrote horrible code and unleashed it on the planet
9244 Maegan *  left the room (quit: Client Quit).
9245 Margene :  that was me sorry
9264 Maegan *  entered the room.
9266 Shenna :  Gale: what do ou mean?
9308 Renate *  entered the room.
9347 Gale :  Shenna: there's some security advisory up to version 2.6.20.8 afaik.  Guess what, if you use say 2.6.20.1, for instance, and your distro didn't address those vulnerabilities in their older version of the kernel, you're vulnerable.
9354 Iris *  left the room (quit: "Ex-Chat").
9359 Temika *  left the room (quit: Remote closed the connection).
9377 Shenna :  i downloaded the source today
9383 Margene :  the top distros usually do
9390 Shenna :  so i guess it is the correct one
9394 Gale :  Margene: indeed
9403 Gale :  but it's something to check out
9414 Shenna :  slackware is a top distro
9418 Johnathon :  linuxSUCKS
9418 Shenna :  k
9423 Johnathon :  F
9423 Johnathon :  GDF
9424 Johnathon :  GDH
9424 Johnathon :  FG
9424 Johnathon :  H
9424 Johnathon :  FH
9426 Johnathon :  FG
9428 Johnathon :  H
9429 Lizeth :  retard
9430 Johnathon :  GFGHFGHFGDHDGF
9432 Johnathon :  H
9432 ##linux :  mode (+o Kacy ) by ChanServ
9434 Johnathon :  FH
9436 Johnathon :  FDH
9436 Luella *  left the room ("Leaving").
9436 Cecile *  left the room (quit: Remote closed the connection).
9438 ##linux :  mode (+b *!n=Cipher-B@*unaffiliated/cipher-blaze ) by Kacy
9438 Johnathon *  left the room (Kicked by Kacy (WildPikachu)).
9444 Renate :  lol
9454 Lizeth :  that was worth it
9454 Gale :  doot doot doot... another one bites the dust
9483 Lizeth :  what kind of laptop are you using?
9488 Nicki :  a norwegian windows user, :)
9491 Fernando *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
9501 Fernando *  entered the room.
9509 Arlie :  this shitty code came from, of all people, one of the founders of AutoDesk
9533 Gale :  Arlie: is it a surprise?
9549 Kathie *  left the room (quit: Remote closed the connection).
9549 Laraine *  left the room (quit: "See ya on the flip side!").
9551 Niki *  entered the room.
9556 Lizeth :  dont they make autocad?
9561 Arlie :  Gale, its sad and disheartening
9567 Gale :  Lizeth: yeah
9569 Arlie :  Gale, i expect my government to lie to me
9569 Josef *  entered the room.
9587 Lizeth :  autocad is retarded
9589 Arlie :  Gale, but the OSS community rants endlessly about code quality that doesnt seem to exist
9605 Lizeth :  runs like its broken
9607 Gale :  Arlie: it's a mixed bag
9629 Gale :  Arlie: but the main thing is we can switch apps at the drop of a hat
9630 Lizeth :  havent used it in 8 years though lol
9636 Claudie *  entered the room.
9641 Gale :  Arlie: so if something sucks... next
9642 Felicitas *  entered the room.
9644 Arlie :  Gale, sure ... find me another apcupsd package
9649 Arlie :  that runs on linux
9659 Niki *  left the room.
9673 Arlie :  its not like there are 1,000's of them ... theres 1
9685 Thurman *  left the room (quit: "Ex-Chat").
9706 Shenna *  left the room.
9708 Gale :  maybe it's time for more then
9755 Alisa :  load ~/.darkstar/darkstar.irc
9758 Alisa :  whoops.
9766 Alisa :  At least it wasn't a war script :D
9767 Melda :  you know what they say about people who complain about a free product
9773 Arlie :  Gale, which is like saying, the current one sucks and is useless ;)
9776 Brooke *  left the room (quit: Remote closed the connection).
9789 Rena *  left the room (quit: Read error: 110 (Connection timed out)).
9790 Arlie :  Melda, im not complaining about a free product
9794 Gale :  I haven't used that particular one
9804 Arlinda *  left the room ("Coming Back").
9804 Arlinda *  entered the room.
9805 Melda :  Arlie: what? huh? i never said anything about you
9822 Margene :  backpeddalers
9824 Arlie :  Melda, im complaining about 1,000 assholes screaming "OSS HAS THE BEST CODE QUALITY" when it simply isnt true ... if you give something away, and it sucks, fine, say so, tell me it sucks ahead of time
9840 Melda :  i've yet to hear that ever... but ok
9848 Gale :  it's like anything else.  Has it's ups and downs
9857 Margene :  I say that all the time, maybe I should stop
9886 Jordon *  left the room (quit: Remote closed the connection).
9890 Arlie :  i just posted a message to the mailing list
9904 Arlie :  anyone wanna bet money on the fact that i get a "sorry, doesnt exist, use the souce" response ?
9910 Arlie :  i'll pay 2:1 if im wrong
9917 Gale :  Arlie: I think it's the zealous fanatics that make that bold of statements
9922 Margene :  I hope you used foul language
9930 Jana *  entered the room.
9936 Arlie :  Margene, nah, but i did have 2 or 3 typos
9939 Fernando *  left the room (quit: Read error: 104 (Connection reset by Brandie)).
9950 Marivel *  left the room (quit: "leaving").
9957 Fernando *  entered the room.
9975 Marion *  left the room.
9995 Cherlyn *  entered the room.
10008 Margene :  too many goofy acronyms
10012 Jana :  is there an easy way on linux to see the current size of the TCP half-open connections queue, and the TCP accept queue?  (redhat specifically, but I'd be happier with something that works on most linuxes, rather than something redhat-specific)
10055 Crista *  left the room (quit: Remote closed the connection).
10058 Maegan :  I know it's not the leetest question in the word, but how do I remove those little bars that appear next to applets on the kde taskbar?
10058 Alisa *  left the room (quit: "ircII EPIC5-0.3.3 -- Are we there yet?").
10059 Nicki :  have you poked around in /proc ?
10070 Stacee *  left the room (quit: "Leaving.").
10077 Jana :  Nicki: I've been looking in /proc for a while but havne't found it
